Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1006.75     0.00   750010     0.00     0.00  ExecStoreVirtualTuple
  0.00   1006.75     0.00   729191     0.00     0.00  _bt_check_compare
  0.00   1006.75     0.00   729191     0.00     0.00  _bt_checkkeys
  0.00   1006.75     0.00   693257     0.00     0.00  _bt_saveitem
  0.00   1006.75     0.00   500219     0.00     0.00  ExecStoreBufferHeapTuple
  0.00   1006.75     0.00   500012     0.00     0.00  heapgettup_pagemode
  0.00   1006.75     0.00   500010     0.00     0.00  SeqNext
  0.00   1006.75     0.00   499990     0.00     0.00  tuplestore_rescan
  0.00   1006.75     0.00   414678     0.00     0.00  AllocSetAlloc
  0.00   1006.75     0.00   404525     0.00     0.00  AllocSetFree
  0.00   1006.75     0.00   404514     0.00     0.00  pfree
  0.00   1006.75     0.00   400270     0.00     0.00  GetMemoryChunkSpace
  0.00   1006.75     0.00   400150     0.00     0.00  GenerationAlloc
  0.00   1006.75     0.00   400150     0.00     0.00  GenerationGetChunkSpace
  0.00   1006.75     0.00   400150     0.00     0.00  tuplestore_puttuple_common
  0.00   1006.75     0.00   400150     0.00     0.00  tuplestore_puttupleslot
  0.00   1006.75     0.00   400010     0.00     0.00  ExecJustOuterVarVirt
  0.00   1006.75     0.00   400010     0.00     0.00  ExecMergeJoin
  0.00   1006.75     0.00   400010     0.00     0.00  MJEvalOuterValues
  0.00   1006.75     0.00   400000     0.00     0.00  heap_free_minimal_tuple
  0.00   1006.75     0.00   400000     0.00     0.00  tts_minimal_copyslot
  0.00   1006.75     0.00   350010     0.00     0.00  tts_virtual_materialize
  0.00   1006.75     0.00   350000     0.00     0.00  tts_virtual_copyslot
  0.00   1006.75     0.00    33760     0.00     0.00  _bt_setuppostingitems
  0.00   1006.75     0.00    27724     0.00     0.00  ConditionVariableInit
  0.00   1006.75     0.00    18341     0.00     0.00  LWLockInitialize
  0.00   1006.75     0.00    16384     0.00     0.00  pgaio_wref_clear
  0.00   1006.75     0.00    16207     0.00     0.00  TransactionIdPrecedes
  0.00   1006.75     0.00    16037     0.00     0.00  HeapTupleSatisfiesVisibility
  0.00   1006.75     0.00    16034     0.00     0.00  XidInMVCCSnapshot
  0.00   1006.75     0.00    14340     0.00     0.00  GetPrivateRefCountEntry
  0.00   1006.75     0.00    10625     0.00     0.00  LWLockRelease
  0.00   1006.75     0.00    10593     0.00     0.00  ResourceOwnerEnlarge
  0.00   1006.75     0.00    10593     0.00     0.00  ResourceOwnerForget
  0.00   1006.75     0.00    10593     0.00     0.00  ResourceOwnerRemember
  0.00   1006.75     0.00    10474     0.00     0.00  LWLockAcquire
  0.00   1006.75     0.00     9674     0.00     0.00  LockBuffer
  0.00   1006.75     0.00     7931     0.00     0.00  palloc
  0.00   1006.75     0.00     7170     0.00     0.00  UnpinBufferNoOwner
  0.00   1006.75     0.00     6990     0.00     0.00  ReleaseBuffer
  0.00   1006.75     0.00     6239     0.00     0.00  tag_hash
  0.00   1006.75     0.00     5145     0.00     0.00  get_hash_value
  0.00   1006.75     0.00     4809     0.00     0.00  BufTableHashCode
  0.00   1006.75     0.00     4809     0.00     0.00  BufTableLookup
  0.00   1006.75     0.00     4809     0.00     0.00  IOContextForStrategy
  0.00   1006.75     0.00     4809     0.00     0.00  PinBuffer
  0.00   1006.75     0.00     4809     0.00     0.00  ReservePrivateRefCountEntry
  0.00   1006.75     0.00     4809     0.00     0.00  pgstat_count_backend_io_op
  0.00   1006.75     0.00     2817     0.00     0.00  int4hashfast
  0.00   1006.75     0.00     2718     0.00     0.00  hash_search
  0.00   1006.75     0.00     2679     0.00     0.00  int4eqfast
  0.00   1006.75     0.00     2587     0.00     0.00  ReadBufferExtended
  0.00   1006.75     0.00     2502     0.00     0.00  check_stack_depth
  0.00   1006.75     0.00     2439     0.00     0.00  CheckForSerializableConflictOutNeeded
  0.00   1006.75     0.00     2398     0.00     0.00  _bt_checkpage
  0.00   1006.75     0.00     2389     0.00     0.00  lappend
  0.00   1006.75     0.00     2361     0.00     0.00  IncrBufferRefCount
  0.00   1006.75     0.00     2251     0.00     0.00  ReadBuffer
  0.00   1006.75     0.00     2244     0.00     0.00  read_stream_next_buffer
  0.00   1006.75     0.00     2234     0.00     0.00  heap_scan_stream_read_next_serial
  0.00   1006.75     0.00     2222     0.00     0.00  heap_prepare_pagescan
  0.00   1006.75     0.00     2221     0.00     0.00  CatalogCacheComputeHashValue
  0.00   1006.75     0.00     2115     0.00     0.00  CheckPostmasterSignal
  0.00   1006.75     0.00     2102     0.00     0.00  _bt_unlockbuf
  0.00   1006.75     0.00     2079     0.00     0.00  _bt_readnextpage
  0.00   1006.75     0.00     2079     0.00     0.00  _bt_steppage
  0.00   1006.75     0.00     2064     0.00     0.00  SearchCatCacheInternal
  0.00   1006.75     0.00     2059     0.00     0.00  FunctionCall2Coll
  0.00   1006.75     0.00     2040     0.00     0.00  _bt_getbuf
  0.00   1006.75     0.00     2040     0.00     0.00  _bt_set_startikey
  0.00   1006.75     0.00     2021     0.00     0.00  ReleaseCatCache
  0.00   1006.75     0.00     1949     0.00     0.00  ReleaseSysCache
  0.00   1006.75     0.00     1907     0.00     0.00  GUC_yylex
  0.00   1006.75     0.00     1852     0.00     0.00  hash_seq_search
  0.00   1006.75     0.00     1847     0.00     0.00  dostr
  0.00   1006.75     0.00     1724     0.00     0.00  oid_compare
  0.00   1006.75     0.00     1520     0.00     0.00  bms_is_subset
  0.00   1006.75     0.00     1400     0.00     0.00  compare_pathkeys
  0.00   1006.75     0.00     1363     0.00     0.00  SearchCatCache1
  0.00   1006.75     0.00     1363     0.00     0.00  SearchSysCache1
  0.00   1006.75     0.00     1314     0.00     0.00  ReadDirExtended
  0.00   1006.75     0.00     1246     0.00     0.00  populate_compact_attribute
  0.00   1006.75     0.00     1245     0.00     0.00  _bt_compare
  0.00   1006.75     0.00     1230     0.00     0.00  errstart
  0.00   1006.75     0.00     1223     0.00     0.00  looks_like_temp_rel_name
  0.00   1006.75     0.00     1218     0.00     0.00  MemoryContextAlloc
  0.00   1006.75     0.00     1170     0.00     0.00  bms_overlap
  0.00   1006.75     0.00     1161     0.00     0.00  btoidcmp
  0.00   1006.75     0.00      992     0.00     0.00  bms_equal
  0.00   1006.75     0.00      982     0.00     0.00  uint32_hash
  0.00   1006.75     0.00      970     0.00     0.00  bms_next_member
  0.00   1006.75     0.00      946     0.00     0.00  enlargeStringInfo
  0.00   1006.75     0.00      900     0.00     0.00  bms_free
  0.00   1006.75     0.00      871     0.00     0.00  dispatch_compare_ptr
  0.00   1006.75     0.00      860     0.00     0.00  IsCatalogRelationOid
  0.00   1006.75     0.00      800     0.00     0.00  add_path_precheck
  0.00   1006.75     0.00      790     0.00     0.00  pathkeys_count_contained_in
  0.00   1006.75     0.00      765     0.00     0.00  exprType
  0.00   1006.75     0.00      756     0.00     0.00  MemoryContextStrdup
  0.00   1006.75     0.00      709     0.00     0.00  pg_tolower
  0.00   1006.75     0.00      690     0.00     0.00  bms_union
  0.00   1006.75     0.00      665     0.00     0.00  ShmemAllocRaw
  0.00   1006.75     0.00      659     0.00     0.00  pstrdup
  0.00   1006.75     0.00      632     0.00     0.00  bms_copy
  0.00   1006.75     0.00      620     0.00     0.00  bms_add_members
  0.00   1006.75     0.00      620     0.00     0.00  calc_nestloop_required_outer
  0.00   1006.75     0.00      620     0.00     0.00  try_nestloop_path
  0.00   1006.75     0.00      603     0.00     0.00  RelationClose
  0.00   1006.75     0.00      603     0.00     0.00  RelationIdGetRelation
  0.00   1006.75     0.00      603     0.00     0.00  pgstat_init_relation
  0.00   1006.75     0.00      592     0.00     0.00  ShmemAllocNoError
  0.00   1006.75     0.00      588     0.00     0.00  resetStringInfo
  0.00   1006.75     0.00      573     0.00     0.00  relation_open
  0.00   1006.75     0.00      571     0.00     0.00  leading_pad
  0.00   1006.75     0.00      561     0.00     0.00  list_copy
  0.00   1006.75     0.00      560     0.00     0.00  initial_cost_nestloop
  0.00   1006.75     0.00      510     0.00     0.00  list_concat
  0.00   1006.75     0.00      503     0.00     0.00  int2hashfast
  0.00   1006.75     0.00      500     0.00     0.00  get_opmethod_canorder
  0.00   1006.75     0.00      494     0.00     0.00  WaitEventSetWait
  0.00   1006.75     0.00      489     0.00     0.00  fmtint
  0.00   1006.75     0.00      489     0.00     0.00  guc_name_hash
  0.00   1006.75     0.00      486     0.00     0.00  fmgr_info_cxt_security
  0.00   1006.75     0.00      484     0.00     0.00  drain
  0.00   1006.75     0.00      484     0.00     0.00  int2eqfast
  0.00   1006.75     0.00      480     0.00     0.00  maybe_adjust_io_workers
  0.00   1006.75     0.00      480     0.00     0.00  pgaio_workers_enabled
  0.00   1006.75     0.00      478     0.00     0.00  SetLatch
  0.00   1006.75     0.00      477     0.00     0.00  ResetLatch
  0.00   1006.75     0.00      475     0.00     0.00  WakeupMyProc
  0.00   1006.75     0.00      462     0.00     0.00  seg_alloc
  0.00   1006.75     0.00      437     0.00     0.00  pg_vsnprintf
  0.00   1006.75     0.00      430     0.00     0.00  bms_add_member
  0.00   1006.75     0.00      418     0.00     0.00  pg_strncasecmp
  0.00   1006.75     0.00      408     0.00     0.00  expression_tree_walker_impl
  0.00   1006.75     0.00      403     0.00     1.45  InitializeOneGUCOption
  0.00   1006.75     0.00      403     0.00     0.00  MemoryContextAllocZero
  0.00   1006.75     0.00      400     0.00     0.00  clamp_row_est
  0.00   1006.75     0.00      398     0.00     0.00  relation_close
  0.00   1006.75     0.00      393     0.00     0.00  ResourceOwnerForgetLock
  0.00   1006.75     0.00      393     0.00     0.00  ResourceOwnerRememberLock
  0.00   1006.75     0.00      386     0.00     0.00  base_yylex
  0.00   1006.75     0.00      386     0.00     0.00  core_yylex
  0.00   1006.75     0.00      385     0.00     0.00  oideq
  0.00   1006.75     0.00      384     0.00     0.00  GrantLockLocal
  0.00   1006.75     0.00      384     0.00     0.00  LockAcquireExtended
  0.00   1006.75     0.00      384     0.00     0.00  MemoryContextAllocExtended
  0.00   1006.75     0.00      383     0.00     0.00  IsSharedRelation
  0.00   1006.75     0.00      383     0.00     0.00  LockRelationOid
  0.00   1006.75     0.00      382     0.00     0.00  add_path
  0.00   1006.75     0.00      382     0.00     0.00  check_functions_in_node
  0.00   1006.75     0.00      381     0.00     0.00  bms_make_singleton
  0.00   1006.75     0.00      378     0.00     0.00  charhashfast
  0.00   1006.75     0.00      376     0.00     0.00  AcceptInvalidationMessages
  0.00   1006.75     0.00      376     0.00     0.00  ReceiveSharedInvalidMessages
  0.00   1006.75     0.00      376     0.00     0.00  SIGetDataEntries
  0.00   1006.75     0.00      368     0.00     0.00  table_close
  0.00   1006.75     0.00      366     0.00     0.00  chareqfast
  0.00   1006.75     0.00      365     0.00     0.00  pvsnprintf
  0.00   1006.75     0.00      364     0.00     0.00  ReleaseAndReadBuffer
  0.00   1006.75     0.00      362     0.00     0.00  ScanKeywordLookup
  0.00   1006.75     0.00      362     0.00     0.00  ScanKeywords_hash_func
  0.00   1006.75     0.00      362     0.00     0.00  list_member_oid
  0.00   1006.75     0.00      360     0.00     0.00  compare_path_costs_fuzzily
  0.00   1006.75     0.00      360     0.00     0.00  eclass_member_iterator_next
  0.00   1006.75     0.00      360     0.00     0.00  rangeTableEntry_used_walker
  0.00   1006.75     0.00      360     0.00     0.00  truncate_useless_pathkeys
  0.00   1006.75     0.00      356     0.00     0.00  GetUserId
  0.00   1006.75     0.00      356     0.00     0.00  add_size
  0.00   1006.75     0.00      344     0.00     0.00  MemoryContextCreate
  0.00   1006.75     0.00      338     0.00     0.00  table_open
  0.00   1006.75     0.00      333     0.00     0.00  RemoveLocalLock
  0.00   1006.75     0.00      332     0.00     0.00  MarkLockClear
  0.00   1006.75     0.00      330     0.00     0.00  ReindexIsProcessingIndex
  0.00   1006.75     0.00      330     0.00     0.00  SearchCatCache3
  0.00   1006.75     0.00      330     0.00     0.00  SearchSysCache3
  0.00   1006.75     0.00      330     0.00     0.00  contain_volatile_functions_walker
  0.00   1006.75     0.00      324     0.00     0.00  AllocSetContextCreateInternal
  0.00   1006.75     0.00      320     0.00     0.00  appendStringInfo
  0.00   1006.75     0.00      320     0.00     0.00  get_memoize_path
  0.00   1006.75     0.00      316     0.00     0.00  lcons
  0.00   1006.75     0.00      311     0.00     0.00  FastPathUnGrantRelationLock
  0.00   1006.75     0.00      311     0.00     0.00  new_list
  0.00   1006.75     0.00      303     0.00     0.00  LockRelease
  0.00   1006.75     0.00      303     0.00     0.00  UnlockRelationId
  0.00   1006.75     0.00      298     0.00     0.00  MakeTupleTableSlot
  0.00   1006.75     0.00      298     0.00     0.00  initStringInfo
  0.00   1006.75     0.00      296     0.00     0.00  appendBinaryStringInfo
  0.00   1006.75     0.00      295     0.00     0.00  appendStringInfoString
  0.00   1006.75     0.00      284     0.00     0.00  appendStringInfoChar
  0.00   1006.75     0.00      280     0.00     0.00  build_join_pathkeys
  0.00   1006.75     0.00      280     0.00     0.00  find_mergeclauses_for_outer_pathkeys
  0.00   1006.75     0.00      268     0.00     0.00  AllocSetAllocLarge
  0.00   1006.75     0.00      264     0.00     0.00  AllocSetReset
  0.00   1006.75     0.00      261     0.00     0.00  CreateTemplateTupleDesc
  0.00   1006.75     0.00      261     0.00     0.00  cost_qual_eval_walker
  0.00   1006.75     0.00      260     0.00     0.00  bms_del_members
  0.00   1006.75     0.00      260     0.00     0.00  contain_volatile_functions
  0.00   1006.75     0.00      260     0.00     0.00  find_base_rel
  0.00   1006.75     0.00      256     0.00     0.00  list_make1_impl
  0.00   1006.75     0.00      256     0.00     0.00  nocachegetattr
  0.00   1006.75     0.00      255     0.00     0.00  pgstat_get_entry_ref
  0.00   1006.75     0.00      255     0.00     0.00  systable_getnext
  0.00   1006.75     0.00      253     0.00     0.00  index_getnext_slot
  0.00   1006.75     0.00      251     0.00     0.00  AllocSetAllocFromNewBlock
  0.00   1006.75     0.00      250     0.00     0.00  bms_subset_compare
  0.00   1006.75     0.00      250     0.00     0.00  get_joinrel_parampathinfo
  0.00   1006.75     0.00      249     0.00     0.00  AssignPostmasterChildSlot
  0.00   1006.75     0.00      249     0.00     0.00  MarkPostmasterChildSlotAssigned
  0.00   1006.75     0.00      249     0.00     0.00  fork_process
  0.00   1006.75     0.00      249     0.00     0.00  postmaster_child_launch
  0.00   1006.75     0.00      243     0.00     0.00  StartChildProcess
  0.00   1006.75     0.00      243     0.00     0.00  pgstat_prep_pending_entry
  0.00   1006.75     0.00      243     0.00     0.00  superuser_arg
  0.00   1006.75     0.00      242     0.00     0.00  list_insert_nth
  0.00   1006.75     0.00      240     0.00     0.00  MarkPostmasterChildSlotUnassigned
  0.00   1006.75     0.00      240     0.00     0.00  PostmasterStateMachine
  0.00   1006.75     0.00      240     0.00     0.00  ReleasePostmasterChildSlot
  0.00   1006.75     0.00      240     0.00     0.00  calc_non_nestloop_required_outer
  0.00   1006.75     0.00      240     0.00     0.00  canAcceptConnections
  0.00   1006.75     0.00      240     0.00     0.00  examine_variable
  0.00   1006.75     0.00      239     0.00     0.00  FindPostmasterChildByPid
  0.00   1006.75     0.00      239     0.00     0.00  GetBackendTypeDesc
  0.00   1006.75     0.00      239     0.00     0.00  LogChildExit
  0.00   1006.75     0.00      235     0.00     0.00  handle_pm_pmsignal_signal
  0.00   1006.75     0.00      234     0.00     0.00  _bt_fix_scankey_strategy
  0.00   1006.75     0.00      234     0.00     0.00  _bt_mark_scankey_required
  0.00   1006.75     0.00      233     0.00     0.00  SearchCatCache4
  0.00   1006.75     0.00      233     0.00     0.00  SearchSysCache4
  0.00   1006.75     0.00      232     0.00     0.00  ShutdownExprContext
  0.00   1006.75     0.00      231     0.00     0.00  equal
  0.00   1006.75     0.00      230     0.00     0.00  get_attstatsslot
  0.00   1006.75     0.00      227     0.00     0.00  mul_size
  0.00   1006.75     0.00      221     0.00     0.00  heapam_index_fetch_reset
  0.00   1006.75     0.00      220     0.00     0.00  clauselist_selectivity
  0.00   1006.75     0.00      220     0.00     0.00  clauselist_selectivity_ext
  0.00   1006.75     0.00      220     0.00     0.00  generate_mergejoin_paths
  0.00   1006.75     0.00      220     0.00     0.00  pg_class_aclmask_ext
  0.00   1006.75     0.00      219     0.00     0.00  ExecFetchSlotHeapTuple
  0.00   1006.75     0.00      219     0.00     0.00  tts_buffer_heap_get_heap_tuple
  0.00   1006.75     0.00      217     0.00     0.00  PredicateLockTID
  0.00   1006.75     0.00      217     0.00     0.00  heap_hot_search_buffer
  0.00   1006.75     0.00      217     0.00     0.00  heapam_index_fetch_tuple
  0.00   1006.75     0.00      217     0.00     0.00  index_fetch_heap
  0.00   1006.75     0.00      215     0.00     0.00  _bt_binsrch
  0.00   1006.75     0.00      215     0.00     0.00  _bt_moveright
  0.00   1006.75     0.00      215     0.00     0.00  lappend_oid
  0.00   1006.75     0.00      215     0.00     0.00  pg_strcasecmp
  0.00   1006.75     0.00      214     0.00     0.00  ScanKeyEntryInitializeWithInfo
  0.00   1006.75     0.00      214     0.00     0.00  fmgr_info_copy
  0.00   1006.75     0.00      214     0.00     0.00  index_getprocinfo
  0.00   1006.75     0.00      212     0.00     0.00  MemoryContextDelete
  0.00   1006.75     0.00      212     0.00     0.00  element_alloc
  0.00   1006.75     0.00      206     0.00     0.00  guc_name_compare
  0.00   1006.75     0.00      205     0.00     0.00  index_close
  0.00   1006.75     0.00      205     0.00     0.00  index_open
  0.00   1006.75     0.00      204     0.00     0.00  AllocSetDelete
  0.00   1006.75     0.00      202     0.00     0.00  expression_tree_mutator_impl
  0.00   1006.75     0.00      202     0.00     0.00  socket_putmessage
  0.00   1006.75     0.00      201     0.00     0.00  get_expr_width
  0.00   1006.75     0.00      200     0.00     0.00  bms_is_member
  0.00   1006.75     0.00      200     0.00     0.00  pg_get_line_append
  0.00   1006.75     0.00      198     0.00     0.00  pg_strip_crlf
  0.00   1006.75     0.00      197     0.00     0.00  tts_buffer_heap_clear
  0.00   1006.75     0.00      193     0.00     0.00  fix_expr_common
  0.00   1006.75     0.00      192     0.00     0.00  pg_server_to_client
  0.00   1006.75     0.00      191     0.00     0.00  exprCollation
  0.00   1006.75     0.00      191     0.00     0.00  list_delete_nth_cell
  0.00   1006.75     0.00      190     0.00     0.00  find_base_rel_noerr
  0.00   1006.75     0.00      190     0.00     0.00  has_unique_index
  0.00   1006.75     0.00      190     0.00     0.00  pg_class_aclcheck
  0.00   1006.75     0.00      187     0.00     0.00  DecrTupleDescRefCount
  0.00   1006.75     0.00      187     0.00     0.00  IncrTupleDescRefCount
  0.00   1006.75     0.00      187     0.00     0.00  RelationDecrementReferenceCount
  0.00   1006.75     0.00      187     0.00     0.00  RelationIncrementReferenceCount
  0.00   1006.75     0.00      187     0.00     0.00  heapam_slot_callbacks
  0.00   1006.75     0.00      187     0.00     0.00  tts_buffer_heap_init
  0.00   1006.75     0.00      187     0.00     0.00  tts_buffer_heap_release
  0.00   1006.75     0.00      182     0.00     0.00  new_head_cell
  0.00   1006.75     0.00      181     0.00     0.00  appendBinaryStringInfoNT
  0.00   1006.75     0.00      180     0.00     0.00  bms_get_singleton_member
  0.00   1006.75     0.00      180     0.00     0.00  cost_tuplesort
  0.00   1006.75     0.00      180     0.00     0.00  create_nestloop_path
  0.00   1006.75     0.00      180     0.00     0.00  final_cost_nestloop
  0.00   1006.75     0.00      180     0.00     0.00  get_eclass_indexes_for_relids
  0.00   1006.75     0.00      180     0.00     0.00  initial_cost_mergejoin
  0.00   1006.75     0.00      180     0.00     0.00  pathkeys_contained_in
  0.00   1006.75     0.00      180     0.00     0.00  try_mergejoin_path
  0.00   1006.75     0.00      178     0.00     0.00  RegisterSnapshot
  0.00   1006.75     0.00      177     0.00     0.00  ExecDropSingleTupleTableSlot
  0.00   1006.75     0.00      175     0.00     0.00  IndexScanEnd
  0.00   1006.75     0.00      175     0.00     0.00  InitSharedLatch
  0.00   1006.75     0.00      175     0.00     0.00  RelationGetIndexScan
  0.00   1006.75     0.00      175     0.00     0.00  TransactionStartedDuringRecovery
  0.00   1006.75     0.00      175     0.00     0.00  _bt_first
  0.00   1006.75     0.00      175     0.00     0.00  _bt_getroot
  0.00   1006.75     0.00      175     0.00     0.00  _bt_preprocess_keys
  0.00   1006.75     0.00      175     0.00     0.00  btbeginscan
  0.00   1006.75     0.00      175     0.00     0.00  btendscan
  0.00   1006.75     0.00      175     0.00     0.00  btrescan
  0.00   1006.75     0.00      175     0.00     0.00  heapam_index_fetch_begin
  0.00   1006.75     0.00      175     0.00     0.00  heapam_index_fetch_end
  0.00   1006.75     0.00      175     0.00     0.00  index_beginscan
  0.00   1006.75     0.00      175     0.00     0.00  index_beginscan_internal
  0.00   1006.75     0.00      175     0.00     0.00  index_endscan
  0.00   1006.75     0.00      175     0.00     0.00  index_rescan
  0.00   1006.75     0.00      174     0.00     0.00  PGSemaphoreCreate
  0.00   1006.75     0.00      174     0.00     0.00  pg_detoast_datum_packed
  0.00   1006.75     0.00      174     0.00     0.00  text_to_cstring
  0.00   1006.75     0.00      173     0.00     0.00  SnapshotResetXmin
  0.00   1006.75     0.00      173     0.00     0.00  copyObjectImpl
  0.00   1006.75     0.00      170     0.00     0.00  IndexAmTranslateCompareType
  0.00   1006.75     0.00      170     0.00     0.00  clause_selectivity_ext
  0.00   1006.75     0.00      170     0.00     0.00  fix_upper_expr_mutator
  0.00   1006.75     0.00      170     0.00     0.00  get_tablespace
  0.00   1006.75     0.00      170     0.00     0.00  list_free
  0.00   1006.75     0.00      168     0.00     0.00  OidFunctionCall0Coll
  0.00   1006.75     0.00      168     0.00     0.00  UnregisterSnapshot
  0.00   1006.75     0.00      168     0.00     0.00  _bt_readfirstpage
  0.00   1006.75     0.00      167     0.00     0.00  MakeSingleTupleTableSlot
  0.00   1006.75     0.00      166     0.00     0.00  call_int_check_hook
  0.00   1006.75     0.00      163     0.00     0.00  eval_const_expressions_mutator
  0.00   1006.75     0.00      162     0.00     0.00  pq_beginmessage_reuse
  0.00   1006.75     0.00      162     0.00     0.00  pq_endmessage_reuse
  0.00   1006.75     0.00      161     0.00     0.00  makeString
  0.00   1006.75     0.00      160     0.00     0.00  get_tablespace_page_costs
  0.00   1006.75     0.00      160     0.00     0.00  get_variable_numdistinct
  0.00   1006.75     0.00      160     0.00     0.00  match_expr_to_partition_keys
  0.00   1006.75     0.00      157     0.00     0.00  table_slot_create
  0.00   1006.75     0.00      156     0.00     0.00  CopySnapshot
  0.00   1006.75     0.00      156     0.00     0.00  RegisterSnapshotOnOwner
  0.00   1006.75     0.00      151     0.00     0.00  LWLockConditionalAcquire
  0.00   1006.75     0.00      151     0.00     0.00  OutputFunctionCall
  0.00   1006.75     0.00      151     0.00     0.00  pq_sendcountedtext
  0.00   1006.75     0.00      151     0.00     0.00  printtup
  0.00   1006.75     0.00      150     0.00     0.00  cstring_to_text_with_len
  0.00   1006.75     0.00      150     0.00     0.00  do_tup_output
  0.00   1006.75     0.00      150     0.00     0.00  fill_val
  0.00   1006.75     0.00      150     0.00     0.00  free_attstatsslot
  0.00   1006.75     0.00      150     0.00     0.00  get_opfamily_member_for_cmptype
  0.00   1006.75     0.00      150     0.00     0.00  pairingheap_add
  0.00   1006.75     0.00      150     0.00     0.00  pairingheap_remove
  0.00   1006.75     0.00      150     0.00     0.00  slot_getsomeattrs_int
  0.00   1006.75     0.00      150     0.00     0.00  textout
  0.00   1006.75     0.00      150     0.00     0.00  tstoreReceiveSlot_notoast
  0.00   1006.75     0.00      150     0.00     0.00  tts_minimal_getsomeattrs
  0.00   1006.75     0.00      148     0.00     0.00  RelationInitLockInfo
  0.00   1006.75     0.00      148     0.00     0.00  RelationInitPhysicalAddr
  0.00   1006.75     0.00      147     0.00     0.00  _bt_relandgetbuf
  0.00   1006.75     0.00      146     0.00     0.00  DynaHashAlloc
  0.00   1006.75     0.00      146     0.00     0.00  SysCacheGetAttr
  0.00   1006.75     0.00      145     0.00     0.00  dsa_get_address
  0.00   1006.75     0.00      143     0.00     0.00  expr_setup_walker
  0.00   1006.75     0.00      141     0.00     0.00  pgstat_unlock_entry
  0.00   1006.75     0.00      141     0.00     0.00  string_hash
  0.00   1006.75     0.00      140     0.00     0.00  IndexAmTranslateStrategy
  0.00   1006.75     0.00      140     0.00     0.00  appendStringInfoSpaces
